uai,nom_etablissement,nombre de lettre,_3eme_total,longitude,latitude,taux_de_reussite_g
0720799C,Collège Jean de l'Epine,23,106,0.1805152793431396,48.01740166270182,86.0
0720902P,Collège Pierre-Gilles de Gennes,31,92,0.1976884716282042,47.96849261242499,96.0
0040044B,Collège Maria Borrély,21,94,6.237060584123931,44.09466935826107,78.0
0040013T,Collège Le Mont d'Or,20,74,5.787123117417129,43.83528869404598,85.0
0132009N,Collège Château Double,22,134,5.419359963845442,43.53148231123345,92.0
0131701D,Collège Gabriel Péri,20,97,5.4701298149777315,43.453259683075466,90.0
0132409Y,Collège Alphonse Daudet,23,172,4.984210014527683,43.496704481468136,68.0
0133775H,Collège Marie Laurencin,23,72,5.38785964493626,43.32037096854043,80.0
0131885D,Collège Vallon des Pins,23,146,5.365884347481156,43.371399994209604,85.0
0133788X,Collège Jean-Claude Izzo,24,115,5.369271084312032,43.30735309691616,76.0
0131935H,Collège Edgar Quinet,20,147,5.379561803755705,43.30694525124522,92.0
0132217P,Collège Mont-Sauvy,18,144,5.031266668352428,43.7960920994055,89.0
0131611F,Collège René Cassin,19,185,4.662029851916059,43.81837826589648,90.0
0132214L,Collège Henri Fabre,19,121,5.250809992084071,43.44084480591727,77.0
0840020R,Collège Clovis Hugues,21,145,5.047102900177587,43.83500193892284,94.0
0840033E,Collège Voltaire,16,94,4.873883399735772,44.00987908595682,87.0
0840716X,Collège Vallis Aeria,20,142,5.005314177299518,44.387896326262734,82.0
0061130W,Collège Paul Langevin,21,213,7.196883172175359,43.768663732880455,80.0
0061240R,Collège Carnot,14,111,6.922150382885586,43.65587061065868,72.0
0061211J,Collège Pablo Picasso,21,187,7.055986940991657,43.57938575103072,76.0
0830833E,Collège Paul Cézanne,20,149,6.071707310398736,43.40274581502263,77.0
0830953K,Collège Peiresc,15,158,5.9347041399016085,43.124334055184825,74.0
0030010V,Collège Maurice Constantin Weyer,32,180,3.4542099569016824,46.13596769070815,85.0
0030030S,Collège Jean Zay,16,48,2.5925800816384736,46.349204184430654,88.0
0631502R,Collège Charles Baudelaire,26,90,3.0950697983947135,45.75864662579044,88.0
0381903M,Collège Jean Vilar,18,97,5.730740310609724,45.156022648146184,83.0
0382504R,Collège Georges Brassens,24,111,4.92644189871169,45.53069286816266,92.0
0010974D,Collège Victoire Daubié,23,134,5.24540999711648,46.20705911951749,84.0
0420035K,Collège Jean de La Fontaine,27,147,4.0530801064527004,46.02819681803356,89.0
0421684C,Collège Albert Thomas,21,69,4.074189363998615,46.044164960692996,84.0
0421486M,Collège Pierre Joannon,22,91,4.51173782637113,45.45963076148744,84.0
0421451Z,Collège Marc Seguin,19,65,4.408860006920129,45.465018037373156,90.0
0690007H,Collège Emile Zola,18,190,4.749254142615913,46.104989457870936,93.0
0691479H,Collège Joliot Curie,20,97,4.9145618813352545,45.7481619936372,79.0
0692157V,Collège Georges Brassens,24,182,4.975196301146557,45.76858335729128,69.0
0692342W,Collège Alain,13,202,4.855460398189426,45.696744263891354,88.0
0690249W,Collège Pierre Valdo,20,136,4.92880538362763,45.779670960163855,74.0
0690094C,Collège Jules Michelet,22,167,4.872875990843281,45.688464746000854,90.0
0691799F,Collège Louis Aragon,20,126,4.891154691482821,45.68991129669038,73.0
0694296V,Collège Simone Lagrange,23,99,4.903774500573558,45.77926108782248,88.0
0250003T,Collège Jean Bauhin,19,159,6.849090225779805,47.47951278049735,85.0
0251209D,Collège Anatole France,22,96,6.80400939043247,47.53840507018112,74.0
0251395F,Collège Lou Blazer,18,161,6.791109347380717,47.49841073923035,95.0
